id,date,phase,cluster,strategy,hypothesis,data,test_period,oos_period,oos_cagr,oos_sharpe,max_dd,costs,n_configs,status,file,notes
SR-RETAIL,2026-09-11,search,intraday-sniper-search,"Honest grid search (PREREG_SEARCH.md): 11 entry families (8 sniper setups, ALL8, 60-min momentum, 15-min reversal) x side x min score x regime x 24 exit variants (stop x1/x3, scale-out/2R/no target, 60/480 min, invalidation on/off) = 9,504 configs; top 10 by first-half t-stat, judged on the second half; fee track 0.35%/side","At least one configuration picked on the first half stays profitable after fees on the second half, beats random entries through the same exits and works on 3 of 5 coins","Coinbase 1m BTC/ETH/SOL/XRP/DOGE-USD (finalists also run on 16 US stocks/ETFs, 19 sessions)",train 2025-09-25..2026-03-18,2026-03-19..2026-09-10,"finalists' second-half mean R -1.12 to -2.01 per trade; 0 of 5,235 configs positive in either half",,,0.35%/side,9504,FAIL,research/run_search.py,"NOT FOUND: 0/10 finalists pass W1-W3 (0/5 coins positive each); no-fee first-half rank does not predict the second half (Spearman -0.005 over 5,235 configs); random-entry search's finalists lost about as much"
SR-LOW,2026-09-11,search,intraday-sniper-search,"Honest grid search (PREREG_SEARCH.md): 11 entry families (8 sniper setups, ALL8, 60-min momentum, 15-min reversal) x side x min score x regime x 24 exit variants (stop x1/x3, scale-out/2R/no target, 60/480 min, invalidation on/off) = 9,504 configs; top 10 by first-half t-stat, judged on the second half; fee track 0.05%/side (same 9,504 configs as SR-RETAIL)","At least one configuration picked on the first half stays profitable after fees on the second half, beats random entries through the same exits and works on 3 of 5 coins","Coinbase 1m BTC/ETH/SOL/XRP/DOGE-USD (finalists also run on 16 US stocks/ETFs, 19 sessions)",train 2025-09-25..2026-03-18,2026-03-19..2026-09-10,"finalists (all 60-min momentum shorts, stop x3, 480 min) +0.10 to +0.26R first half -> -0.22 to -0.37R second half",,,0.05%/side,0,FAIL,research/run_search.py,"NOT FOUND: 0/10 finalists pass; 1.7% of configs positive in the first half, 0.6% in the second, 0.0% in both; random-entry search best first-half t +1.03 vs real +2.74; all finalists negative on stocks; n_configs 0 because the grid is counted in SR-RETAIL"
P2-H14-LO,2026-09-11,phase2,AUCTION,IEF after 10-year note auctions,Treasury prices recover in the sessions after an auction as dealers distribute the new supply,"fiscaldata.treasury.gov auctions, Yahoo IEF/TLT 2002->, ^IRX",2002-08-01..2026-09-11,2014-01-02..2026-09-11,-0.9% ex-cash,-0.26,-17%,1bp/side (2x: 2bp),5,FAIL,research/run_phase2.py,"failed G1,G2,G3,G4,G5,G6,G7"
P2-H14-LS,2026-09-11,phase2,AUCTION,"IEF short into, long out of 10-year auctions","Prices sag into an auction and recover after it, so short the five sessions before and hold the five after","fiscaldata.treasury.gov auctions, Yahoo IEF/TLT 2002->, ^IRX",2002-08-01..2026-09-11,2014-01-02..2026-09-11,-0.1% ex-cash,0.00,-13%,1bp/side + 0.50%/yr borrow on shorts (2x: 2bp),5,FAIL,research/run_phase2.py,"failed G1,G2,G3,G4,G7"
P2-H11-LS,2026-09-11,phase2,PEAD-EAR,"Earnings-reaction drift, long/short",The strongest 3-day reactions to earnings keep beating the weakest for 60 sessions,SEC EDGAR 8-K Item 2.02/12 acceptance times; Yahoo prices; S&P 500 + 400 members,2003-10-17..2026-09-10,2009-01-02..2026-09-10,-4.0% ex-cash,-0.69,-53%,5/10bp per side + 0.30%/yr borrow (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4,G5,G6,G7,G8"
P2-H11-LO,2026-09-11,phase2,PEAD-EAR,"Earnings-reaction drift, long-only",Holding the strongest earnings reactions for 60 sessions beats holding the universe,SEC EDGAR 8-K Item 2.02/12 acceptance times; Yahoo prices; S&P 500 + 400 members,2003-10-17..2026-09-10,2009-01-02..2026-09-10,-1.4% ex-cash,-0.12,-36%,5/10bp per side (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4,G6"
P2-H12-LS,2026-09-11,phase2,PEAD-SUE,"Earnings-surprise drift, long/short",Stocks with the largest standardized earnings surprises beat those with the smallest for 60 sessions after the 10-Q,SEC XBRL EPS from original 10-Qs + EDGAR acceptance times; Yahoo prices; S&P 500 + 400,2011-05-05..2026-09-10,2011-05-05..2026-09-10,-1.2% ex-cash,-0.10,-42%,5/10bp per side + 0.30%/yr borrow (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4,G6,G7,G8"
P2-H12-LO,2026-09-11,phase2,PEAD-SUE,"Earnings-surprise drift, long-only",Holding the largest standardized earnings surprises for 60 sessions beats the universe,SEC XBRL EPS from original 10-Qs + EDGAR acceptance times; Yahoo prices; S&P 500 + 400,2011-05-05..2026-09-10,2011-05-05..2026-09-10,-4.2% ex-cash,-0.41,-54%,5/10bp per side (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4,G5,G6,G7"
P2-H13-LS,2026-09-11,phase2,INSIDER,Opportunistic insider buys minus sells,Stocks bought by opportunistic insiders beat stocks they sell over the next month,SEC Insider Transactions Data Sets (Form 4) 2006->; Yahoo prices; S&P 500 + 400,2009-02-02..2026-09-10,2012-01-03..2026-09-10,-100.0% ex-cash,-0.37,-171%,5/10bp per side + 0.30%/yr borrow (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4,G5,G6,G7,G8"
P2-H13-LO,2026-09-11,phase2,INSIDER,"Opportunistic insider buys, long-only",Stocks bought by opportunistic insiders beat the universe over the next month,SEC Insider Transactions Data Sets (Form 4) 2006->; Yahoo prices; S&P 500 + 400,2009-02-02..2026-09-10,2012-01-03..2026-09-10,-12.4% ex-cash,-0.57,-90%,5/10bp per side (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4,G5,G6,G7"
P2-H14-LO-A1,2026-09-11,phase2,AUCTION,IEF after 10-year note auctions [amendment A1: splice fix],Treasury prices recover in the sessions after an auction as dealers distribute the new supply,"fiscaldata.treasury.gov auctions, Yahoo IEF/TLT 2002->, ^IRX",2002-08-01..2026-09-11,2014-01-02..2026-09-11,-0.9% ex-cash,-0.26,-17%,1bp/side (2x: 2bp),5,FAIL,research/run_phase2.py,"failed G1,G2,G3,G4,G5,G6,G7"
P2-H14-LS-A1,2026-09-11,phase2,AUCTION,"IEF short into, long out of 10-year auctions [amendment A1: splice fix]","Prices sag into an auction and recover after it, so short the five sessions before and hold the five after","fiscaldata.treasury.gov auctions, Yahoo IEF/TLT 2002->, ^IRX",2002-08-01..2026-09-11,2014-01-02..2026-09-11,-0.1% ex-cash,0.00,-13%,1bp/side + 0.50%/yr borrow on shorts (2x: 2bp),5,FAIL,research/run_phase2.py,"failed G1,G2,G3,G4,G7"
P2-H11-LS-A1,2026-09-11,phase2,PEAD-EAR,"Earnings-reaction drift, long/short [amendment A1: splice fix]",The strongest 3-day reactions to earnings keep beating the weakest for 60 sessions,SEC EDGAR 8-K Item 2.02/12 acceptance times; Yahoo prices; S&P 500 + 400 members,2003-10-17..2026-09-10,2009-01-02..2026-09-10,-4.0% ex-cash,-0.69,-53%,5/10bp per side + 0.30%/yr borrow (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4,G5,G6,G7,G8"
P2-H11-LO-A1,2026-09-11,phase2,PEAD-EAR,"Earnings-reaction drift, long-only [amendment A1: splice fix]",Holding the strongest earnings reactions for 60 sessions beats holding the universe,SEC EDGAR 8-K Item 2.02/12 acceptance times; Yahoo prices; S&P 500 + 400 members,2003-10-17..2026-09-10,2009-01-02..2026-09-10,+0.6% ex-cash,0.17,-8%,5/10bp per side (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4"
P2-H12-LS-A1,2026-09-11,phase2,PEAD-SUE,"Earnings-surprise drift, long/short [amendment A1: splice fix]",Stocks with the largest standardized earnings surprises beat those with the smallest for 60 sessions after the 10-Q,SEC XBRL EPS from original 10-Qs + EDGAR acceptance times; Yahoo prices; S&P 500 + 400,2011-05-05..2026-09-10,2011-05-05..2026-09-10,-1.2% ex-cash,-0.10,-42%,5/10bp per side + 0.30%/yr borrow (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4,G6,G7,G8"
P2-H12-LO-A1,2026-09-11,phase2,PEAD-SUE,"Earnings-surprise drift, long-only [amendment A1: splice fix]",Holding the largest standardized earnings surprises for 60 sessions beats the universe,SEC XBRL EPS from original 10-Qs + EDGAR acceptance times; Yahoo prices; S&P 500 + 400,2011-05-05..2026-09-10,2011-05-05..2026-09-10,-1.9% ex-cash,-0.34,-33%,5/10bp per side (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4,G5,G6,G7"
P2-H13-LS-A1,2026-09-11,phase2,INSIDER,Opportunistic insider buys minus sells [amendment A1: splice fix],Stocks bought by opportunistic insiders beat stocks they sell over the next month,SEC Insider Transactions Data Sets (Form 4) 2006->; Yahoo prices; S&P 500 + 400,2009-02-02..2026-09-10,2012-01-03..2026-09-10,-10.3% ex-cash,-0.48,-86%,5/10bp per side + 0.30%/yr borrow (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4,G5,G6,G7,G8"
P2-H13-LO-A1,2026-09-11,phase2,INSIDER,"Opportunistic insider buys, long-only [amendment A1: splice fix]",Stocks bought by opportunistic insiders beat the universe over the next month,SEC Insider Transactions Data Sets (Form 4) 2006->; Yahoo prices; S&P 500 + 400,2009-02-02..2026-09-10,2012-01-03..2026-09-10,-10.1% ex-cash,-0.51,-85%,5/10bp per side (2x costs),7,FAIL,research/run_phase2.py,"failed G1,G10,G2,G3,G4,G5,G6,G7"
P3-H20-LO,2026-09-12,phase3,TERM,IEF when the term-spread forecast is positive,An expanding-window forecast from the 10-year minus 3-month yield spread times bond duration; hold IEF only when the forecast next-month excess return is positive,"FRED DGS10/DGS5/DGS2/DTB3 (1954/1962->), Yahoo IEF/TLT 2002->, ^IRX",2002-08-01..2026-09-11,2002-08-01..2026-09-11,+1.8% ex-cash,0.35,-23%,1bp/side (2x: 2bp),5,FAIL,research/run_h20.py,"failed G1,G2,G3,G7"
P3-H20-LS,2026-09-12,phase3,TERM,IEF long/short on the term-spread forecast,"An expanding-window forecast from the 10-year minus 3-month yield spread times bond duration; long IEF when the forecast is positive, short otherwise","FRED DGS10/DGS5/DGS2/DTB3 (1954/1962->), Yahoo IEF/TLT 2002->, ^IRX",2002-08-01..2026-09-11,2002-08-01..2026-09-11,+0.2% ex-cash,0.06,-38%,1bp/side + 0.50%/yr borrow on shorts (2x: 2bp),5,FAIL,research/run_h20.py,"failed G1,G2,G3,G7"
P4-H31,2026-09-12,phase4,DUALMOM,"Dual momentum (SPY vs EFA 12m, AGG below T-bills)","Holding the stronger of US and non-US stocks over 12 months, and bonds when it trails T-bills, beats the market","Yahoo SPY/EFA/AGG/IEF (adjusted) 2001->, ^IRX",2004-10-01..2026-09-11,2013-01-02..2026-09-11,+6.7% ex-cash,0.50,-34%,"1bp SPY, 2bp EFA/AGG/IEF per side (2x)",5,FAIL,research/run_phase4.py,"failed G2,G3,G7"
P4-H32,2026-09-12,phase4,HALLOWEEN,"Halloween: SPY Nov-Apr, cash May-Oct",Stocks earn their excess return from November to April; summer months earn about nothing,"Yahoo SPY/IWM/DIA/QQQ/EFA (adjusted) 1993->, ^IRX",1993-02-01..2026-09-11,2003-01-02..2026-09-11,+5.6% ex-cash,0.47,-37%,1bp/side SPY (2x: 2bp),5,FAIL,research/run_phase4.py,"failed G2,G3,G7"
P4-H33,2026-09-12,phase4,FOMCCYCLE,"FOMC cycle: SPY in even weeks (days -1..3, 9..13, 19..23, 29..33)",US stock returns concentrate in even weeks of FOMC cycle time (Fed policy news cycle),"federalreserve.gov calendars 1994->, Yahoo SPY/QQQ/IWM/DIA (adjusted), ^IRX",1994-02-01..2026-09-11,2016-01-04..2026-09-11,+3.0% ex-cash,0.30,-27%,1bp/side SPY (2x: 2bp),5,FAIL,research/run_phase4.py,"failed G1,G2,G3,G7"
P5-H34,2026-09-12,phase5,PREHOLIDAY,Pre-holiday: SPY on the session before NYSE holidays,Stocks earn an abnormal return on the last trading day before a market holiday,"NYSE holiday rules 1993->, Yahoo SPY/QQQ/IWM/DIA (adjusted), ^IRX",1993-02-01..2026-09-11,1993-02-01..2026-09-11,+0.6% ex-cash,0.24,-9%,1bp/side SPY (2x: 2bp),5,FAIL,research/run_phase5.py,"failed G1,G2,G3,G7"
P5-H35,2026-09-12,phase5,OPEX,Options-expiration week: SPY in the week of the third Friday,Stock returns are higher in the week monthly options expire (hedge rebalancing),"Third-Friday calendar, Yahoo SPY/QQQ/IWM/DIA (adjusted), ^IRX",1993-02-01..2026-09-11,2014-01-02..2026-09-11,+0.4% ex-cash,0.10,-33%,1bp/side SPY (2x: 2bp),5,FAIL,research/run_phase5.py,"failed G1,G2,G3,G6,G7"
P5-H36,2026-09-12,phase5,GTAA,Faber GTAA5: 5 ETFs held above their 10-month average,Holding each asset class only above its 10-month moving average beats holding the same assets throughout,"Yahoo SPY/EFA/IEF/VNQ/DBC/TLT (adjusted) 2001->, ^IRX",2006-12-01..2026-09-11,2008-01-02..2026-09-11,+3.6% ex-cash,0.48,-16%,"1bp SPY, 2bp other ETFs per side (2x)",5,FAIL,research/run_phase5.py,"failed G2,G3,G7"
P5-H37,2026-09-12,phase5,LEVTREND,"Trend-filtered 2x: SSO above SPY's 200-day average, else cash",Leverage held only in uptrends (above the 200-day average) beats the market after costs,"Yahoo SPY/SSO/UPRO/IEF (adjusted) 2006->, ^IRX",2006-07-03..2026-09-11,2017-01-03..2026-09-11,+15.3% ex-cash,0.71,-36%,2bp/side SSO/UPRO/IEF (2x: 4bp),5,FAIL,research/run_phase5.py,"failed G2,G3,G7"
P6-H38,2026-09-12,phase6,SANTA,Santa Claus rally: SPY last 5 Dec + first 2 Jan sessions,Stocks rise over the last five trading days of December and the first two of January,"Yahoo SPY/QQQ/IWM/DIA (adjusted) 1993->, ^IRX",1993-02-01..2026-09-11,1993-02-01..2026-09-11,+0.7% ex-cash,0.27,-7%,1bp/side SPY (2x: 2bp),5,FAIL,research/run_phase6.py,"failed G1,G2,G3,G7"
P6-H39,2026-09-12,phase6,WEEKEND,Weekend effect: SPY except each week's first session,"The return spanning the weekend (each week's first session) is below other days, so skipping it beats holding throughout","Yahoo SPY/QQQ/IWM/DIA (adjusted) 1993->, ^IRX",1993-02-01..2026-09-11,1993-02-01..2026-09-11,+5.2% ex-cash,0.40,-56%,1bp/side SPY (2x: 2bp),5,FAIL,research/run_phase6.py,"failed G2,G3,G7"
P6-H40,2026-09-12,phase6,JANUARY,"January small caps: IWM in January, SPY otherwise","Small caps beat large caps in January, so tilting to IWM each January beats holding SPY","Yahoo SPY/IWM/IJR/MDY (adjusted) 1995->, ^IRX",2001-01-02..2026-09-11,2001-01-02..2026-09-11,+7.1% ex-cash,0.45,-57%,"1bp SPY, 2bp IWM/IJR/MDY per side (2x)",5,FAIL,research/run_phase6.py,"failed G2,G3,G7"
P6-H41,2026-09-12,phase6,PRESCYCLE,"Presidential cycle: SPY in years 3-4, cash in years 1-2",Stocks earn their excess return in the second half of each presidential term,"Yahoo SPY/QQQ/IWM/DIA (adjusted) 1993->, ^IRX",1993-02-01..2026-09-11,2004-01-02..2026-09-11,+3.1% ex-cash,0.28,-52%,1bp/side SPY (2x: 2bp),5,FAIL,research/run_phase6.py,"failed G1,G2,G3,G7"
P7-H42,2026-09-12,phase7,IBS,"IBS swing trade: SPY long below 0.2, flat above 0.8","After a SPY close near the day's low (IBS < 0.2), holding until a close near the high (IBS > 0.8) beats holding the ETF","Yahoo SPY OHLC (adjusted) 1993->, ^IRX",1993-02-01..2026-09-11,2014-01-02..2026-09-11,+7.9% ex-cash,0.72,-22%,1bp/side (2x: 2bp),5,FAIL,research/run_phase7.py,"failed G2,G3,G7"
P7-H43,2026-09-12,phase7,IBS,"IBS swing trade: QQQ long below 0.2, flat above 0.8","After a QQQ close near the day's low (IBS < 0.2), holding until a close near the high (IBS > 0.8) beats holding the ETF","Yahoo QQQ OHLC (adjusted) 1999->, ^IRX",1999-04-01..2026-09-11,2014-01-02..2026-09-11,+11.4% ex-cash,0.82,-17%,1bp/side (2x: 2bp),5,FAIL,research/run_phase7.py,"failed G2,G3"
P8-H44,2026-09-12,phase8,CTRYMOM,Country momentum: top 4 of 17 iShares country ETFs by 12-1 month return,Countries whose stock markets rose most over the past year (skipping the last month) keep beating the other countries,"Yahoo 17 iShares country ETFs + EFA (adjusted) 1996->, ^IRX",1997-04-01..2026-09-11,2014-01-02..2026-09-11,+4.0% ex-cash,0.31,-41%,5bp/side (2x: 10bp),5,FAIL,research/run_phase8.py,"failed G1,G2,G3,G7"
P8-H45,2026-09-12,phase8,FXCARRY,G10 carry: long top 3 / short bottom 3 of 10 currencies by 3-month rate,"High-interest-rate currencies earn more than their exchange rates give back, so long high-rate / short low-rate currencies earns a positive excess return","FRED H.10 daily FX + OECD 3-month interbank rates (2-month lag) 2002->, French Mkt-RF; Yahoo DBV (live)",2002-07..2026-08,2008-01..2026-08,-0.1% ex-cash,0.02,-24%,3bp/side x turnover + 0.5%/yr rollover markup x notional (2x both),5,FAIL,research/run_phase8.py,"failed G1,G2,G3,G4,G5,G6,G7,G9"
P9-H46,2026-09-13,phase9,CRYPTOTREND,"Crypto trend ensemble: top 20 Coinbase coins, 9 Donchian models, 25% vol target","Long-only trend-following on the 20 most-traded coins, sized by volatility, keeps beating holding bitcoin after its 2025 publication (Zarattini, Pagani & Barbon)","Coinbase Exchange daily candles, all USD pairs incl. delisted, 2022-01 -> 2026-09-12; ^IRX",2023-01-01..2026-09-12,2025-04-01..2026-09-12,-0.7% ex-cash,-0.12,-10%,0.25%/side (2x: 0.50%),7,FAIL,research/run_phase9.py,"failed G1,G2,G3,G4,G6,G7"
P9-H47,2026-09-13,phase9,CRYPTOTREND,"Bitcoin trend ensemble: 9 Donchian models, 25% vol target",The same long-only trend ensemble on bitcoin alone beats holding bitcoin after publication,Coinbase Exchange BTC-USD daily candles 2022-01 -> 2026-09-12; ^IRX,2023-01-01..2026-09-12,2025-04-01..2026-09-12,-2.9% ex-cash,-0.23,-17%,0.25%/side (2x: 0.50%),6,FAIL,research/run_phase9.py,"failed G1,G2,G3,G4,G6,G7"
NN-RETAIL,2026-09-15,nn,SETUP-MATCH,"Nearest-neighbor setup matching: 10 nearest historical candles by feature similarity, trade the consensus","Candles that resemble the current one by return/RSI/band/volume features are followed by similar forward moves, enough to trade profitably after fees",Coinbase Exchange BTC-USD 1-minute candles resampled to 5m (2024-09-11 -> 2026-09-10),2024-09-11..2025-09-10 (pool),2025-09-11..2026-09-10,,,,0.25%/side (2x: 0.50%),1,FAIL,research/run_nn.py,"failed G2,G3,G4; after-fee mean -0.499% ~= shuffled-label control's -0.500%; before fees win rate 50.6% (coin flip)"
NN-SHUFFLE,2026-09-15,nn,SETUP-MATCH,"Shuffled-label control for NN-RETAIL: identical neighbor search, votes redrawn at random",Luck yardstick only - not a candidate strategy,Same as NN-RETAIL,2024-09-11..2025-09-10 (pool),2025-09-11..2026-09-10,,,,0.25%/side (2x: 0.50%),200,CONTROL,research/run_nn.py,"mean of 200 runs -0.500%, 95th pct -0.488%; real run's -0.499% sits on top of this"
GA-EVOLVED,2026-09-16,ga,GA-SEARCH,"Genetic algorithm over 9-gene strategies (5 entry families x side x filters x ATR stop/target x max hold), 40 generations x 60 population","A search that mutates the best of many candidate strategies into new ones, repeated for many iterations, finds a strategy that survives completely unseen data","Coinbase Exchange BTC-USD 1-minute candles resampled to 5m (2024-09-11 -> 2026-09-10)",2024-09-11..2026-01-29 (train) / 2026-01-30..2026-06-10 (valid),2026-06-11..2026-09-10,,,,0.25%/side (2x: 0.50%),2400,FAIL,research/run_ga.py,"failed G2,G3,G4; holdout mean -0.50% over 73 trades, worse than random-entry-timing control's 95th pct -0.35%; 0 of 600 logged top candidates ever had positive TRAIN fitness"
GA-RANDOM,2026-09-16,ga,GA-SEARCH,Same budget (2400 genomes) with no selection or mutation - generation 0's process repeated 40 times,Control: did evolution beat trying that many random genomes?,Same as GA-EVOLVED,2024-09-11..2026-01-29 (train) / 2026-01-30..2026-06-10 (valid),2026-06-11..2026-09-10,,,,0.25%/side (2x: 0.50%),2400,CONTROL,research/run_ga.py,"holdout mean -0.26% over 38 trades, also worse than its random-timing control (-0.19%); did about as well as the evolved run"
GA2-EVOLVED,2026-09-16,ga2,GA-SEARCH,"Genetic algorithm round 2: same 9-gene design as GA-EVOLVED, 100 generations x 100 population, disjoint 2022-2024 data","More search budget on unseen data finds a strategy that survives completely unseen data","Coinbase Exchange BTC-USD 1-minute candles resampled to 5m (2022-09-11 -> 2024-09-10, disjoint from round 1)",2022-09-11..2024-01-29 (train) / 2024-01-30..2024-06-10 (valid),2024-06-11..2024-09-10,,,,0.25%/side (2x: 0.50%),10000,FAIL,research/run_ga2.py,"failed G2,G3,G4; validation fitness +0.234% reversed to holdout -0.484% over 29 trades - looked genuinely good in-sample, failed the one untouched look"
GA2-RANDOM,2026-09-16,ga2,GA-SEARCH,Same budget (10000 genomes) with no selection or mutation - round 2's control,Control: did evolution beat trying that many random genomes on the new data too?,Same as GA2-EVOLVED,2022-09-11..2024-01-29 (train) / 2024-01-30..2024-06-10 (valid),2024-06-11..2024-09-10,,,,0.25%/side (2x: 0.50%),10000,CONTROL,research/run_ga2.py,"failed G1 (only 17 holdout trades); validation fitness +0.432% reversed to holdout -0.166%"
WP01,2026-09-21,live,web-picks,"Web Picks: Claude reads the web and picks 0-3 longs per bucket a week (US stocks, micro-caps, Coinbase crypto/meme coins)",Web-researched picks beat luck and beat holding after fees,"Nasdaq screener, Coinbase, Yahoo daily opens; forward only (a backtest would be contaminated by Claude's knowledge)",2026-09-21..12 scored weekly rounds,forward only,,,,0.02% stocks / 0.50% micro / 0.25% crypto per trade (2x per round trip),,RUNNING,live_arena/web_picks/,Reviewed when the 12th round is scored (~2026-12-21); five gates per bucket in PREREG_WEBPICKS.md; scheduled Sundays 5pm (web-picks-weekly)
